,ICD-10-CM Code,ICD-10-CM Code Description,CCSR Category,CCSR Category Description,Default CCSR (Y/N/X),Rationale,ICD10 description,Risk factors description
443,E09.3491,"Drug or chemical induced diabetes mellitus with severe nonproliferative diabetic retinopathy without macular edema, right eye",END003,Diabetes mellitus with complication,Y,02 Diabetes mellitus,E09 Drug or chemical induced diabetes mellitu,Diabetes
444,E09.3491,"Drug or chemical induced diabetes mellitus with severe nonproliferative diabetic retinopathy without macular edema, right eye",END006,"Diabetes mellitus, due to underlying condition, drug or chemical induced, or other specified type",N,02 Diabetes mellitus,E09 Drug or chemical induced diabetes mellitu,Diabetes
445,E09.3492,"Drug or chemical induced diabetes mellitus with severe nonproliferative diabetic retinopathy without macular edema, left eye",END003,Diabetes mellitus with complication,Y,02 Diabetes mellitus,E09 Drug or chemical induced diabetes mellitu,Diabetes
446,E09.3492,"Drug or chemical induced diabetes mellitus with severe nonproliferative diabetic retinopathy without macular edema, left eye",END006,"Diabetes mellitus, due to underlying condition, drug or chemical induced, or other specified type",N,02 Diabetes mellitus,E09 Drug or chemical induced diabetes mellitu,Diabetes
447,E09.3493,"Drug or chemical induced diabetes mellitus with severe nonproliferative diabetic retinopathy without macular edema, bilateral",END003,Diabetes mellitus with complication,Y,02 Diabetes mellitus,E09 Drug or chemical induced diabetes mellitu,Diabetes
448,E09.3493,"Drug or chemical induced diabetes mellitus with severe nonproliferative diabetic retinopathy without macular edema, bilateral",END006,"Diabetes mellitus, due to underlying condition, drug or chemical induced, or other specified type",N,02 Diabetes mellitus,E09 Drug or chemical induced diabetes mellitu,Diabetes
449,E09.3499,"Drug or chemical induced diabetes mellitus with severe nonproliferative diabetic retinopathy without macular edema, unspecified eye",END003,Diabetes mellitus with complication,Y,02 Diabetes mellitus,E09 Drug or chemical induced diabetes mellitu,Diabetes
450,E09.3499,"Drug or chemical induced diabetes mellitus with severe nonproliferative diabetic retinopathy without macular edema, unspecified eye",END006,"Diabetes mellitus, due to underlying condition, drug or chemical induced, or other specified type",N,02 Diabetes mellitus,E09 Drug or chemical induced diabetes mellitu,Diabetes
451,E09.351,Drug or chemical induced diabetes mellitus with proliferative diabetic retinopathy with macular edema,END003,Diabetes mellitus with complication,Y,02 Diabetes mellitus,E09 Drug or chemical induced diabetes mellitu,Diabetes
452,E09.351,Drug or chemical induced diabetes mellitus with proliferative diabetic retinopathy with macular edema,END006,"Diabetes mellitus, due to underlying condition, drug or chemical induced, or other specified type",N,02 Diabetes mellitus,E09 Drug or chemical induced diabetes mellitu,Diabetes
453,E09.3511,"Drug or chemical induced diabetes mellitus with proliferative diabetic retinopathy with macular edema, right eye",END003,Diabetes mellitus with complication,Y,02 Diabetes mellitus,E09 Drug or chemical induced diabetes mellitu,Diabetes
454,E09.3511,"Drug or chemical induced diabetes mellitus with proliferative diabetic retinopathy with macular edema, right eye",END006,"Diabetes mellitus, due to underlying condition, drug or chemical induced, or other specified type",N,02 Diabetes mellitus,E09 Drug or chemical induced diabetes mellitu,Diabetes
455,E09.3512,"Drug or chemical induced diabetes mellitus with proliferative diabetic retinopathy with macular edema, left eye",END003,Diabetes mellitus with complication,Y,02 Diabetes mellitus,E09 Drug or chemical induced diabetes mellitu,Diabetes
456,E09.3512,"Drug or chemical induced diabetes mellitus with proliferative diabetic retinopathy with macular edema, left eye",END006,"Diabetes mellitus, due to underlying condition, drug or chemical induced, or other specified type",N,02 Diabetes mellitus,E09 Drug or chemical induced diabetes mellitu,Diabetes
457,E09.3513,"Drug or chemical induced diabetes mellitus with proliferative diabetic retinopathy with macular edema, bilateral",END003,Diabetes mellitus with complication,Y,02 Diabetes mellitus,E09 Drug or chemical induced diabetes mellitu,Diabetes
458,E09.3513,"Drug or chemical induced diabetes mellitus with proliferative diabetic retinopathy with macular edema, bilateral",END006,"Diabetes mellitus, due to underlying condition, drug or chemical induced, or other specified type",N,02 Diabetes mellitus,E09 Drug or chemical induced diabetes mellitu,Diabetes
459,E09.3519,"Drug or chemical induced diabetes mellitus with proliferative diabetic retinopathy with macular edema, unspecified eye",END003,Diabetes mellitus with complication,Y,02 Diabetes mellitus,E09 Drug or chemical induced diabetes mellitu,Diabetes
460,E09.3519,"Drug or chemical induced diabetes mellitus with proliferative diabetic retinopathy with macular edema, unspecified eye",END006,"Diabetes mellitus, due to underlying condition, drug or chemical induced, or other specified type",N,02 Diabetes mellitus,E09 Drug or chemical induced diabetes mellitu,Diabetes
461,E09.3521,"Drug or chemical induced diabetes mellitus with proliferative diabetic retinopathy with traction retinal detachment involving the macula, right eye",END003,Diabetes mellitus with complication,Y,02 Diabetes mellitus,E09 Drug or chemical induced diabetes mellitu,Diabetes
462,E09.3521,"Drug or chemical induced diabetes mellitus with proliferative diabetic retinopathy with traction retinal detachment involving the macula, right eye",END006,"Diabetes mellitus, due to underlying condition, drug or chemical induced, or other specified type",N,02 Diabetes mellitus,E09 Drug or chemical induced diabetes mellitu,Diabetes
463,E09.3522,"Drug or chemical induced diabetes mellitus with proliferative diabetic retinopathy with traction retinal detachment involving the macula, left eye",END003,Diabetes mellitus with complication,Y,02 Diabetes mellitus,E09 Drug or chemical induced diabetes mellitu,Diabetes
464,E09.3522,"Drug or chemical induced diabetes mellitus with proliferative diabetic retinopathy with traction retinal detachment involving the macula, left eye",END006,"Diabetes mellitus, due to underlying condition, drug or chemical induced, or other specified type",N,02 Diabetes mellitus,E09 Drug or chemical induced diabetes mellitu,Diabetes
465,E09.3523,"Drug or chemical induced diabetes mellitus with proliferative diabetic retinopathy with traction retinal detachment involving the macula, bilateral",END003,Diabetes mellitus with complication,Y,02 Diabetes mellitus,E09 Drug or chemical induced diabetes mellitu,Diabetes
466,E09.3523,"Drug or chemical induced diabetes mellitus with proliferative diabetic retinopathy with traction retinal detachment involving the macula, bilateral",END006,"Diabetes mellitus, due to underlying condition, drug or chemical induced, or other specified type",N,02 Diabetes mellitus,E09 Drug or chemical induced diabetes mellitu,Diabetes
467,E09.3529,"Drug or chemical induced diabetes mellitus with proliferative diabetic retinopathy with traction retinal detachment involving the macula, unspecified eye",END003,Diabetes mellitus with complication,Y,02 Diabetes mellitus,E09 Drug or chemical induced diabetes mellitu,Diabetes
468,E09.3529,"Drug or chemical induced diabetes mellitus with proliferative diabetic retinopathy with traction retinal detachment involving the macula, unspecified eye",END006,"Diabetes mellitus, due to underlying condition, drug or chemical induced, or other specified type",N,02 Diabetes mellitus,E09 Drug or chemical induced diabetes mellitu,Diabetes
469,E09.3531,"Drug or chemical induced diabetes mellitus with proliferative diabetic retinopathy with traction retinal detachment not involving the macula, right eye",END003,Diabetes mellitus with complication,Y,02 Diabetes mellitus,E09 Drug or chemical induced diabetes mellitu,Diabetes
470,E09.3531,"Drug or chemical induced diabetes mellitus with proliferative diabetic retinopathy with traction retinal detachment not involving the macula, right eye",END006,"Diabetes mellitus, due to underlying condition, drug or chemical induced, or other specified type",N,02 Diabetes mellitus,E09 Drug or chemical induced diabetes mellitu,Diabetes
471,E09.3532,"Drug or chemical induced diabetes mellitus with proliferative diabetic retinopathy with traction retinal detachment not involving the macula, left eye",END003,Diabetes mellitus with complication,Y,02 Diabetes mellitus,E09 Drug or chemical induced diabetes mellitu,Diabetes
472,E09.3532,"Drug or chemical induced diabetes mellitus with proliferative diabetic retinopathy with traction retinal detachment not involving the macula, left eye",END006,"Diabetes mellitus, due to underlying condition, drug or chemical induced, or other specified type",N,02 Diabetes mellitus,E09 Drug or chemical induced diabetes mellitu,Diabetes
473,E09.3533,"Drug or chemical induced diabetes mellitus with proliferative diabetic retinopathy with traction retinal detachment not involving the macula, bilateral",END003,Diabetes mellitus with complication,Y,02 Diabetes mellitus,E09 Drug or chemical induced diabetes mellitu,Diabetes
474,E09.3533,"Drug or chemical induced diabetes mellitus with proliferative diabetic retinopathy with traction retinal detachment not involving the macula, bilateral",END006,"Diabetes mellitus, due to underlying condition, drug or chemical induced, or other specified type",N,02 Diabetes mellitus,E09 Drug or chemical induced diabetes mellitu,Diabetes
475,E09.3539,"Drug or chemical induced diabetes mellitus with proliferative diabetic retinopathy with traction retinal detachment not involving the macula, unspecified eye",END003,Diabetes mellitus with complication,Y,02 Diabetes mellitus,E09 Drug or chemical induced diabetes mellitu,Diabetes
476,E09.3539,"Drug or chemical induced diabetes mellitus with proliferative diabetic retinopathy with traction retinal detachment not involving the macula, unspecified eye",END006,"Diabetes mellitus, due to underlying condition, drug or chemical induced, or other specified type",N,02 Diabetes mellitus,E09 Drug or chemical induced diabetes mellitu,Diabetes
477,E09.3541,"Drug or chemical induced diabetes mellitus with proliferative diabetic retinopathy with combined traction retinal detachment and rhegmatogenous retinal detachment, right eye",END003,Diabetes mellitus with complication,Y,02 Diabetes mellitus,E09 Drug or chemical induced diabetes mellitu,Diabetes
478,E09.3541,"Drug or chemical induced diabetes mellitus with proliferative diabetic retinopathy with combined traction retinal detachment and rhegmatogenous retinal detachment, right eye",END006,"Diabetes mellitus, due to underlying condition, drug or chemical induced, or other specified type",N,02 Diabetes mellitus,E09 Drug or chemical induced diabetes mellitu,Diabetes
479,E09.3542,"Drug or chemical induced diabetes mellitus with proliferative diabetic retinopathy with combined traction retinal detachment and rhegmatogenous retinal detachment, left eye",END003,Diabetes mellitus with complication,Y,02 Diabetes mellitus,E09 Drug or chemical induced diabetes mellitu,Diabetes
480,E09.3542,"Drug or chemical induced diabetes mellitus with proliferative diabetic retinopathy with combined traction retinal detachment and rhegmatogenous retinal detachment, left eye",END006,"Diabetes mellitus, due to underlying condition, drug or chemical induced, or other specified type",N,02 Diabetes mellitus,E09 Drug or chemical induced diabetes mellitu,Diabetes
481,E09.3543,"Drug or chemical induced diabetes mellitus with proliferative diabetic retinopathy with combined traction retinal detachment and rhegmatogenous retinal detachment, bilateral",END003,Diabetes mellitus with complication,Y,02 Diabetes mellitus,E09 Drug or chemical induced diabetes mellitu,Diabetes
